Box Name,OLT,LCP,NAP,LCP Name,Node Name,Municipality,Cluster,Sector,Barangay,Subdivision,Building Name,Latitude,Longitude,Parent Site,Parent Floor,Parent Room,Additional Details,Remarks,Landmark,Capacity,Installation Date,OSP / ISP
MNL004 LP452 NP1-2,MNL004,LP452,NP1-2,MNL004 LP452,Zamora Pandacan,MANILA,3,2,BARANGAY 845,,,14.588898,121.001405,,,,,,,16,2021-08-30,OSP
MNL004 LP452 NP3-5,MNL004,LP452,NP3-5,MNL004 LP452,Zamora Pandacan,MANILA,3,2,BARANGAY 845,,,14.5887,121.001299,,,,,,,24,2021-08-30,OSP
MNL004 LP452 NP6-8,MNL004,LP452,NP6-8,MNL004 LP452,Zamora Pandacan,MANILA,3,2,BARANGAY 845,,,14.588448,121.001135,,,,,,,24,2021-08-30,OSP
MNL004 LP453 NP1-2,MNL004,LP453,NP1-2,MNL004 LP453,Zamora Pandacan,MANILA,3,2,BARANGAY 845,,,14.588141,121.001191,,,,,,,16,2021-08-30,OSP
MNL004 LP453 NP3-5,MNL004,LP453,NP3-5,MNL004 LP453,Zamora Pandacan,MANILA,3,2,BARANGAY 845,,,14.588062,121.00135,,,,,,,24,2021-08-30,OSP
MNL004 LP453 NP6-8,MNL004,LP453,NP6-8,MNL004 LP453,Zamora Pandacan,MANILA,3,2,BARANGAY 845,,,14.587945,121.001589,,,,,,,24,2021-08-30,OSP
MNL004 LP454 NP1-2,MNL004,LP454,NP1-2,MNL004 LP454,Zamora Pandacan,MANILA,3,2,BARANGAY 845,,,14.588401,121.00177,,,,,,,16,2021-08-30,OSP
MNL004 LP454 NP3-5,MNL004,LP454,NP3-5,MNL004 LP454,Zamora Pandacan,MANILA,3,2,BARANGAY 845,,,14.588126,121.001788,,,,,,,24,2021-08-30,OSP
MNL004 LP454 NP6-8,MNL004,LP454,NP6-8,MNL004 LP454,Zamora Pandacan,MANILA,3,2,BARANGAY 845,,,14.587919,121.001785,,,,,,,24,2021-08-30,OSP
MNL004 LP447 NP6-8,MNL004,LP447,NP6-8,MNL004 LP447,Zamora Pandacan,MANILA,3,2,BARANGAY 845,,,14.589962,121.00166,,,,,,,24,2021-08-30,OSP
MNL004 LP448 NP1-2,MNL004,LP448,NP1-2,MNL004 LP448,Zamora Pandacan,MANILA,3,2,BARANGAY 845,,,14.589733,121.001661,,,,,,,16,2021-08-30,OSP
MNL004 LP448 NP3-5,MNL004,LP448,NP3-5,MNL004 LP448,Zamora Pandacan,MANILA,3,2,BARANGAY 845,,,14.589725,121.001671,,,,,,,24,2021-08-30,OSP
MNL004 LP448 NP6-8,MNL004,LP448,NP6-8,MNL004 LP448,Zamora Pandacan,MANILA,3,2,BARANGAY 845,,,14.589517,121.001682,,,,,,,24,2021-08-30,OSP
MNL004 LP449 NP1-2,MNL004,LP449,NP1-2,MNL004 LP449,Zamora Pandacan,MANILA,3,2,BARANGAY 845,,,14.589512,121.001681,,,,,,,16,2021-08-30,OSP
MNL004 LP449 NP3-5,MNL004,LP449,NP3-5,MNL004 LP449,Zamora Pandacan,MANILA,3,2,BARANGAY 845,,,14.589286,121.001695,,,,,,,24,2021-08-30,OSP
MNL004 LP449 NP6-8,MNL004,LP449,NP6-8,MNL004 LP449,Zamora Pandacan,MANILA,3,2,BARANGAY 845,,,14.589281,121.001696,,,,,,,24,2021-08-30,OSP
MNL004 LP450 NP1-2,MNL004,LP450,NP1-2,MNL004 LP450,Zamora Pandacan,MANILA,3,2,BARANGAY 845,,,14.589016,121.001708,,,,,,,16,2021-08-30,OSP
MNL004 LP450 NP3-5,MNL004,LP450,NP3-5,MNL004 LP450,Zamora Pandacan,MANILA,3,2,BARANGAY 845,,,14.589011,121.001711,,,,,,,24,2021-08-30,OSP
MNL004 LP450 NP6-8,MNL004,LP450,NP6-8,MNL004 LP450,Zamora Pandacan,MANILA,3,2,BARANGAY 845,,,14.58871,121.001723,,,,,,,24,2021-08-30,OSP
MNL004 LP451 NP1-2,MNL004,LP451,NP1-2,MNL004 LP451,Zamora Pandacan,MANILA,3,2,BARANGAY 845,,,14.588706,121.001723,,,,,,,16,2021-08-30,OSP
MNL004 LP451 NP3-5,MNL004,LP451,NP3-5,MNL004 LP451,Zamora Pandacan,MANILA,3,2,BARANGAY 845,,,14.588705,121.001729,,,,,,,24,2021-08-30,OSP
MNL001 LP280 NP1-2,MNL001,LP280,NP1-2,MNL001 LP280,Zen Tower,MANILA,3,2,BARANGAY 845,,,14.58788398,121.0017648,,,,,,,16,2019-08-02,OSP
MNL001 LP280 NP3-4,MNL001,LP280,NP3-4,MNL001 LP280,Zen Tower,MANILA,3,2,BARANGAY 845,,,14.58822693,121.0010228,,,,,,,16,2019-08-02,OSP
MNL001 LP280 NP5-6,MNL001,LP280,NP5-6,MNL001 LP280,Zen Tower,MANILA,3,2,BARANGAY 845,,,14.58887447,121.0014319,,,,,,,16,2019-08-02,OSP
MNL001 LP280 NP7-8,MNL001,LP280,NP7-8,MNL001 LP280,Zen Tower,MANILA,3,2,BARANGAY 845,,,14.58948045,121.0016888,,,,,,,16,2019-08-02,OSP
MNL004 LP100 NP1-2,MNL004,LP100,NP1-2,MNL004 LP100,Zamora Pandacan,MANILA,3,2,BARANGAY 846,,,14.588462,121.002176,,,,,,,16,2020-02-09,OSP
MNL004 LP100 NP3-4,MNL004,LP100,NP3-4,MNL004 LP100,Zamora Pandacan,MANILA,3,2,BARANGAY 846,,,14.58858,121.002039,,,,,,,16,2020-02-09,OSP
MNL004 LP100 NP5-6,MNL004,LP100,NP5-6,MNL004 LP100,Zamora Pandacan,MANILA,3,2,BARANGAY 846,,,14.588966,121.002011,,,,,,,16,2020-02-09,OSP
MNL004 LP100 NP7-8,MNL004,LP100,NP7-8,MNL004 LP100,Zamora Pandacan,MANILA,3,2,BARANGAY 846,,,14.589606,121.001962,,,,,,,16,2020-02-09,OSP
MNL004 LP320 NP3-4-5,MNL004,LP320,NP3-4-5,MNL004 LP320,Zamora Pandacan,MANILA,3,2,BARANGAY 846,,,14.588995,121.00254,,,,,,,24,2021-07-18,OSP
MNL004 LP320 NP6-7-8,MNL004,LP320,NP6-7-8,MNL004 LP320,Zamora Pandacan,MANILA,3,2,BARANGAY 846,,,14.589226,121.00271,,,,,,,24,2021-07-18,OSP
MNL004 LP321 NP1-2,MNL004,LP321,NP1-2,MNL004 LP321,Zamora Pandacan,MANILA,3,2,BARANGAY 846,,,14.588584,121.002,,,,,,,16,2021-07-18,OSP
MNL004 LP321 NP3-4-5,MNL004,LP321,NP3-4-5,MNL004 LP321,Zamora Pandacan,MANILA,3,2,BARANGAY 846,,,14.58855,121.002,,,,,,,24,2021-07-18,OSP
MNL004 LP321 NP6-7-8,MNL004,LP321,NP6-7-8,MNL004 LP321,Zamora Pandacan,MANILA,3,2,BARANGAY 846,,,14.588966,121.00198,,,,,,,24,2021-07-18,OSP
MNL004 LP322 NP1-2,MNL004,LP322,NP1-2,MNL004 LP322,Zamora Pandacan,MANILA,3,2,BARANGAY 846,,,14.58894,121.00199,,,,,,,16,2021-07-18,OSP
MNL004 LP322 NP3-4-5,MNL004,LP322,NP3-4-5,MNL004 LP322,Zamora Pandacan,MANILA,3,2,BARANGAY 846,,,14.58934,121.00194,,,,,,,24,2021-07-18,OSP
MNL004 LP322 NP6-7-8,MNL004,LP322,NP6-7-8,MNL004 LP322,Zamora Pandacan,MANILA,3,2,BARANGAY 846,,,14.589315,121.00195,,,,,,,24,2021-07-18,OSP
MNL004 LP323 NP1-2,MNL004,LP323,NP1-2,MNL004 LP323,Zamora Pandacan,MANILA,3,2,BARANGAY 846,,,14.589397,121.00196,,,,,,,16,2021-07-18,OSP
MNL004 LP323 NP3-4-5,MNL004,LP323,NP3-4-5,MNL004 LP323,Zamora Pandacan,MANILA,3,2,BARANGAY 846,,,14.589571,121.00195,,,,,,,24,2021-07-18,OSP
MNL004 LP323 NP6-7-8,MNL004,LP323,NP6-7-8,MNL004 LP323,Zamora Pandacan,MANILA,3,2,BARANGAY 846,,,14.589538,121.00196,,,,,,,24,2021-07-18,OSP
MNL004 LP324 NP1-2,MNL004,LP324,NP1-2,MNL004 LP324,Zamora Pandacan,MANILA,3,2,BARANGAY 846,,,14.589464,121.00289,,,,,,,16,2021-07-18,OSP
MNL001 LP266 NP7-8,MNL001,LP266,NP7-8,MNL001 LP266,Zen Tower,MANILA,3,2,BARANGAY 846,,,14.5888131,121.0023973,,,,,,,16,2019-07-30,OSP
MNL001 LP267 NP1-2,MNL001,LP267,NP1-2,MNL001 LP267,Zen Tower,MANILA,3,2,BARANGAY 846,,,14.5892342,121.0026997,,,,,,,16,2019-07-30,OSP
MNL004 LP101 NP1-2,MNL004,LP101,NP1-2,MNL004 LP101,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.590249,121.002928,,,,,,,16,2020-02-09,OSP
MNL004 LP101 NP3-4,MNL004,LP101,NP3-4,MNL004 LP101,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.590332,121.002304,,,,,,,16,2020-02-09,OSP
MNL004 LP101 NP5-6,MNL004,LP101,NP5-6,MNL004 LP101,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.591152,121.003163,,,,,,,16,2020-02-09,OSP
MNL004 LP102 NP5-6,MNL004,LP102,NP5-6,MNL004 LP102,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.591281,121.003717,,,,,,,16,2020-02-09,OSP
MNL004 LP102 NP7-8,MNL004,LP102,NP7-8,MNL004 LP102,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.590785,121.003571,,,,,,,16,2020-02-09,OSP
MNL004 LP103 NP1-2,MNL004,LP103,NP1-2,MNL004 LP103,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.590105,121.003375,,,,,,,16,2020-02-09,OSP
MNL004 LP103 NP3-4,MNL004,LP103,NP3-4,MNL004 LP103,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.5896,121.003228,,,,,,,16,2020-02-09,OSP
MNL004 LP103 NP5-6,MNL004,LP103,NP5-6,MNL004 LP103,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.590196,121.003107,,,,,,,16,2020-02-09,OSP
MNL004 LP103 NP7-8,MNL004,LP103,NP7-8,MNL004 LP103,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.591121,121.003374,,,,,,,16,2020-02-09,OSP
MNL004 LP104 NP1-2,MNL004,LP104,NP1-2,MNL004 LP104,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.590009,121.003711,,,,,,,16,2020-02-09,OSP
MNL004 LP105 NP1-2,MNL004,LP105,NP1-2,MNL004 LP105,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.590948,121.003994,,,,,,,16,2020-02-09,OSP
MNL004 LP105 NP3-4,MNL004,LP105,NP3-4,MNL004 LP105,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.590411,121.00417,,,,,,,16,2020-02-09,OSP
MNL004 LP364 NP3-4-5,MNL004,LP364,NP3-4-5,MNL004 LP364,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.590231,121.002912,,,,,,,24,2021-07-18,OSP
MNL004 LP364 NP6-7-8,MNL004,LP364,NP6-7-8,MNL004 LP364,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.590237,121.00245,,,,,,,24,2021-07-18,OSP
MNL004 LP365 NP1-2,MNL004,LP365,NP1-2,MNL004 LP365,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.590618,121.003003,,,,,,,16,2021-07-18,OSP
MNL004 LP365 NP3-4-5,MNL004,LP365,NP3-4-5,MNL004 LP365,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.590803,121.00307,,,,,,,24,2021-07-18,OSP
MNL004 LP376 NP1-2,MNL004,LP376,NP1-2,MNL004 LP376,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.590865,121.00397,,,,,,,16,2021-07-18,OSP
MNL004 LP376 NP3-4-5,MNL004,LP376,NP3-4-5,MNL004 LP376,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.590365,121.00382,,,,,,,24,2021-07-18,OSP
MNL004 LP376 NP6-7-8,MNL004,LP376,NP6-7-8,MNL004 LP376,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.590011,121.00371,,,,,,,24,2021-07-18,OSP
MNL004 LP377 NP1-2,MNL004,LP377,NP1-2,MNL004 LP377,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.59069,121.00419,,,,,,,16,2021-07-18,OSP
MNL004 LP237 NP3-4-5,MNL004,LP237,NP3-4-5,MNL004 LP237,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.589668,121.003005,,,,,,,24,2021-06-25,OSP
MNL004 LP237 NP6-7-8,MNL004,LP237,NP6-7-8,MNL004 LP237,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.590765,121.003301,,,,,,,24,2021-06-25,OSP
MNL004 LP371 NP6-7-8,MNL004,LP371,NP6-7-8,MNL004 LP371,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.590741,121.0033,,,,,,,24,2021-07-18,OSP
MNL004 LP372 NP1-2,MNL004,LP372,NP1-2,MNL004 LP372,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.590162,121.00314,,,,,,,16,2021-07-18,OSP
MNL004 LP372 NP3-4-5,MNL004,LP372,NP3-4-5,MNL004 LP372,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.589906,121.00306,,,,,,,24,2021-07-18,OSP
MNL004 LP372 NP6-7-8,MNL004,LP372,NP6-7-8,MNL004 LP372,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.589817,121.00325,,,,,,,24,2021-07-18,OSP
MNL004 LP373 NP1-2,MNL004,LP373,NP1-2,MNL004 LP373,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.590304,121.00341,,,,,,,16,2021-07-18,OSP
MNL004 LP373 NP3-4-5,MNL004,LP373,NP3-4-5,MNL004 LP373,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.590594,121.00349,,,,,,,24,2021-07-18,OSP
MNL004 LP373 NP6-7-8,MNL004,LP373,NP6-7-8,MNL004 LP373,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.590953,121.00361,,,,,,,24,2021-07-18,OSP
MNL004 LP362 NP1-2,MNL004,LP362,NP1-2,MNL004 LP362,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.589702,121.00277,,,,,,,16,2021-07-18,OSP
MNL004 LP362 NP3-4-5,MNL004,LP362,NP3-4-5,MNL004 LP362,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.589723,121.002772,,,,,,,24,2021-07-18,OSP
MNL004 LP362 NP6-7-8,MNL004,LP362,NP6-7-8,MNL004 LP362,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.589959,121.002775,,,,,,,24,2021-07-18,OSP
MNL004 LP363 NP1-2,MNL004,LP363,NP1-2,MNL004 LP363,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.58994,121.00277,,,,,,,16,2021-07-18,OSP
MNL004 LP363 NP3-4-5,MNL004,LP363,NP3-4-5,MNL004 LP363,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.589926,121.002768,,,,,,,24,2021-07-18,OSP
MNL004 LP363 NP6-7-8,MNL004,LP363,NP6-7-8,MNL004 LP363,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.59011,121.00282,,,,,,,24,2021-07-18,OSP
MNL004 LP364 NP1-2,MNL004,LP364,NP1-2,MNL004 LP364,Zamora Pandacan,MANILA,3,2,BARANGAY 847,,,14.590249,121.00292,,,,,,,16,2021-07-18,OSP
MNL001 LP241 NP3-4,MNL001,LP241,NP3-4,MNL001 LP241,Zen Tower,MANILA,3,2,BARANGAY 847,,,14.58971457,121.0027804,,,,,,,16,2019-06-01,OSP
MNL001 LP241 NP5-6,MNL001,LP241,NP5-6,MNL001 LP241,Zen Tower,MANILA,3,2,BARANGAY 847,,,14.58966684,121.0029891,,,,,,,16,2019-06-01,OSP
MNL001 LP241 NP7-8,MNL001,LP241,NP7-8,MNL001 LP241,Zen Tower,MANILA,3,2,BARANGAY 847,,,14.59053521,121.0032298,,,,,,,16,2019-06-01,OSP
MNL001 LP243 NP1-2,MNL001,LP243,NP1-2,MNL001 LP243,Zen Tower,MANILA,3,2,BARANGAY 847,,,14.5904049,121.0038292,,,,,,,16,2019-06-01,OSP
MNL001 LP243 NP3-4,MNL001,LP243,NP3-4,MNL001 LP243,Zen Tower,MANILA,3,2,BARANGAY 847,,,14.59047069,121.0034697,,,,,,,16,2019-06-01,OSP
MNL001 LP243 NP5-6,MNL001,LP243,NP5-6,MNL001 LP243,Zen Tower,MANILA,3,2,BARANGAY 847,,,14.58953084,121.0034947,,,,,,,16,2019-06-01,OSP
MNL001 LP241 NP1-2,MNL001,LP241,NP1-2,MNL001 LP241,Zen Tower,MANILA,3,2,BARANGAY 847,,,14.59058459,121.0029972,,,,,,,16,2019-06-01,OSP
MNL004 LP101 NP7-8,MNL004,LP101,NP7-8,MNL004 LP101,Zamora Pandacan,MANILA,3,2,BARANGAY 848,,,14.592332,121.003468,,,,,,,16,2020-02-09,OSP
MNL004 LP102 NP3-4,MNL004,LP102,NP3-4,MNL004 LP102,Zamora Pandacan,MANILA,3,2,BARANGAY 848,,,14.592243,121.003982,,,,,,,16,2020-02-09,OSP
MNL004 LP105 NP5-6,MNL004,LP105,NP5-6,MNL004 LP105,Zamora Pandacan,MANILA,3,2,BARANGAY 848,,,14.591084,121.004371,,,,,,,16,2020-02-09,OSP
MNL004 LP105 NP7-8,MNL004,LP105,NP7-8,MNL004 LP105,Zamora Pandacan,MANILA,3,2,BARANGAY 848,,,14.591536,121.004469,,,,,,,16,2020-02-09,OSP
MNL004 LP365 NP6-7-8,MNL004,LP365,NP6-7-8,MNL004 LP365,Zamora Pandacan,MANILA,3,2,BARANGAY 848,,,14.591754,121.00332,,,,,,,24,2021-07-18,OSP
MNL004 LP366 NP1-2,MNL004,LP366,NP1-2,MNL004 LP366,Zamora Pandacan,MANILA,3,2,BARANGAY 848,,,14.592209,121.00344,,,,,,,16,2021-07-18,OSP
MNL004 LP374 NP3-4-5,MNL004,LP374,NP3-4-5,MNL004 LP374,Zamora Pandacan,MANILA,3,2,BARANGAY 848,,,14.591975,121.0039,,,,,,,24,2021-07-18,OSP
